Date,Regulation Title,Regulatory Body,Description,Impact,Litigation Risk,Corporate Governance,Proprietary Costs,Information Asymmetry,Unsophisticated Investors,Equity Issuance,Reputation Risk,References,Year,UpdatedLink
11/15/2017,Investment Company Names Rule Modernization,SEC,Updated requirements for fund name and investment policies,Enhanced investor understanding of fund strategies,No,No,No,Yes,Yes,No,No,https://www.sec.gov/rules/final/2001/ic24828.htm,2017,https://www.sec.gov/rules/final/ic-24828.htm
8/16/2017,Investment Company Swing Pricing,SEC,Swing pricing mechanism for mutual funds,Protection against dilution from large redemptions,No,No,No,No,Yes,No,No,https://www.sec.gov/rules/final/2016/3310234.pdf,2017,https://www.sec.gov/rules/final/2016/33-10234.pdf
7/12/2017,Investment Adviser Brochure Rule Enhancements,SEC,Enhanced disclosure requirements in Form ADV Part 2,Improved adviserclient communication and transparency,No,No,No,Yes,Yes,No,No,https://www.sec.gov/rules/final/2010/ia3060.pdf,2017,https://www.sec.gov/rules/final/2010/ia-3060.pdf
5/10/2017,Investment Adviser Custody Rule Reform,SEC,Enhanced custody requirements for investment advisers,Improved client asset protection,Yes,No,No,Yes,Yes,No,Yes,https://www.sec.gov/rules/final/2009/ia2968.pdf,2017,https://www.sec.gov/rules/final/2009/ia-2968.pdf
2/15/2017,Investment Company Liquidity Risk Management,SEC,Liquidity classification and stress testing requirements,Enhanced liquidity preparedness and investor protection,No,Yes,No,No,Yes,No,No,https://www.sec.gov/rules/final/2016/3310233.pdf,2017,https://www.sec.gov/rules/final/2016/33-10233.pdf
12/7/2016,Investment Adviser Marketing Rule,SEC,Modernization of investment adviser advertising restrictions,Enhanced marketing flexibility with investor protection,No,No,No,Yes,Yes,No,No,https://www.sec.gov/rules/final/2020/ia5653.pdf,2016,https://www.sec.gov/rules/final/2020/ia-5653.pdf
10/13/2016,Pay Ratio Disclosure Rule,SEC,Requires disclosure of CEO to median worker pay ratio,Increased transparency in executive compensation,No,Yes,Yes,Yes,Yes,No,Yes,https://www.sec.gov/rules/final/2015/339877.pdf,2016,https://www.sec.gov/rules/final/2015/33-9877.pdf
8/10/2016,Investment Company Reporting Modernization,SEC,Structured data and enhanced disclosure requirements,Improved data quality and investor accessibility,No,No,No,Yes,Yes,No,No,https://www.sec.gov/rules/final/2016/3310231.pdf,2016,https://www.sec.gov/rules/final/2016/33-10231.pdf
6/1/2016,Liquidity Risk Management Rule,SEC,Liquidity risk management programs for mutual funds,Enhanced fund liquidity and redemption capability,No,Yes,No,No,Yes,No,No,https://www.sec.gov/rules/final/2016/3310233.pdf,2016,https://www.sec.gov/rules/final/2016/33-10233.pdf
3/25/2016,OpenEnd Fund Liquidity Risk Management Programs,SEC,Comprehensive liquidity risk management framework,Enhanced fund liquidity preparedness and investor protection,No,Yes,No,No,Yes,No,No,https://www.sec.gov/rules/final/2016/3310233.pdf,2016,https://www.sec.gov/rules/final/2016/33-10233.pdf
11/18/2015,Municipal Securities Disclosure Modernization,SEC,Electronic submission and standardization of municipal disclosures,Improved municipal bond market transparency,No,No,No,Yes,Yes,No,No,https://www.sec.gov/rules/final/2018/3484478.pdf,2015,https://www.sec.gov/rules/final/2018/34-83885.pdf
6/5/2015,Crowdfunding Rules,SEC,Implementation of Title III of JOBS Act for retail crowdfunding,New capital formation avenue for small businesses,No,No,No,No,Yes,Yes,No,https://www.sec.gov/rules/final/2015/339974.pdf,2015,https://www.sec.gov/rules/final/2015/33-9974.pdf
2/18/2015,CrossBorder Application of Certain SecurityBased Swap Requirements,SEC,Territorial scope of SBS dealer and major participant rules,International coordination in derivatives oversight,No,No,No,No,No,No,No,https://www.sec.gov/rules/final/2019/3487780.pdf,2015,https://www.sec.gov/rules/final/2019/34-87780.pdf
12/3/2014,SecurityBased Swap Execution Facilities,SEC,Registration and regulation of SBS execution facilities,Organized trading and transparency in SBS markets,No,Yes,No,Yes,No,No,No,https://www.sec.gov/rules/final/2015/3474892.pdf,2014,https://www.sec.gov/files/rules/final/2014/34-72472.pdf
10/14/2014,CrossBorder SecurityBased Swap Rules,SEC,Crossborder application of securitybased swap rules,International coordination in derivatives regulation,No,No,No,No,No,No,No,https://www.sec.gov/rules/final/2016/3478433.pdf,2014,https://www.sec.gov/files/rules/final/2014/34-72472.pdf
7/23/2014,Consolidated Audit Trail CAT,SEC,Comprehensive audit trail for equity and options markets,Enhanced market surveillance and reconstruction capability,No,No,Yes,No,No,No,No,https://www.sec.gov/rules/final/2016/3478318.pdf,2014,https://www.sec.gov/rules/final/2012/34-67457.pdf
4/2/2014,Money Market Fund Structural Reform,SEC,Floating NAV and liquidity fees for institutional prime funds,Reduced systemic risk in money market fund sector,No,Yes,No,No,Yes,No,No,https://www.sec.gov/rules/final/2014/339616.pdf,2014,https://www.sec.gov/rules/final/2014/33-9616.pdf
12/18/2013,Regulation Systems Compliance and Integrity Reg SCI,SEC,Technology governance requirements for market infrastructure,Improved reliability of critical market systems,No,Yes,No,No,No,No,No,https://www.sec.gov/rules/final/2014/3473639.pdf,2013,https://www.sec.gov/rules/final/2014/34-73639.pdf
9/18/2013,Regulation D Reform,SEC,Modernization of private placement exemptions,Enhanced private capital market efficiency,No,No,No,No,No,Yes,No,https://www.sec.gov/rules/final/2013/339416.pdf,2013,https://www.sec.gov/files/rules/final/2013/33-9415.pdf
7/10/2013,Municipal Advisor Rule,SEC,Registration and regulation of municipal advisors,Increased oversight of municipal securities market,Yes,No,No,No,Yes,No,Yes,https://www.sec.gov/rules/final/2013/3470462.pdf,2013,https://www.sec.gov/rules/final/2013/34-70462.pdf
4/10/2013,Regulation A+ MiniIPO Rules,SEC,Enhanced small offering exemption with broader investor access,Expanded capital formation opportunities for smaller companies,No,No,No,No,Yes,Yes,No,https://www.sec.gov/rules/final/2015/339741.pdf,2013,https://www.sec.gov/rules/final/2015/33-9741.pdf
2/26/2013,Regulation D Disqualification Provisions,SEC,Bad actor disqualification from Regulation D offerings,Enhanced investor protection in private placements,Yes,No,No,No,Yes,Yes,Yes,https://www.sec.gov/rules/final/2013/339414.pdf,2013,https://www.sec.gov/rules/final/2013/33-9414.pdf
12/19/2012,LIBOR Transition Rules,SEC,Transition away from LIBOR reference rate,Market stability during benchmark rate transition,No,No,No,No,No,No,No,https://www.sec.gov/rules/final/2021/3493808.pdf,2012,https://www.sec.gov/newsroom/speeches-statements/staff-statement-libor-transition-20211207
8/22/2012,Resource Extraction Payments Rule,SEC,Disclosure of payments to governments by resource extraction companies,Transparency in extractive industries payments,No,No,Yes,No,No,No,No,https://www.sec.gov/rules/final/2016/3478167.pdf,2012,https://www.sec.gov/rules/final/2016/34-78167.pdf
7/25/2012,Conflict Minerals Disclosure Requirements,SEC,Supply chain disclosure for conflict minerals usage,Corporate social responsibility and transparency,No,No,Yes,No,No,No,No,https://www.sec.gov/rules/final/2012/3467716.pdf,2012,https://www.sec.gov/rules/final/2012/34-67716.pdf
4/5/2012,Jumpstart Our Business Startups JOBS Act,SEC/Congress,Facilitates capital formation for emerging companies through crowdfunding and reduced IPO regulations,Increased access to capital markets for smaller companies,No,No,No,No,Yes,Yes,No,https://www.sec.gov/spotlight/jobsact.shtml,2012,https://www.congress.gov/112/plaws/publ106/PLAW-112publ106.pdf
3/14/2012,Regulation SBSR SecurityBased Swap Reporting,SEC,Realtime reporting requirements for securitybased swaps,Market transparency and regulatory oversight,No,No,No,Yes,No,No,No,https://www.sec.gov/rules/final/2015/3474244.pdf,2012,https://www.sec.gov/rules/final/2015/34-74244.pdf
1/11/2012,Volcker Rule Proprietary Trading Restrictions,SEC,Implementation of proprietary trading prohibitions for banks,Reduced systemic risk from bank trading activities,Yes,No,No,No,No,No,Yes,https://www.sec.gov/rules/final/2013/3468967.pdf,2012,https://www.sec.gov/files/rules/final/2013/bhca-1.pdf
11/14/2011,Municipal Advisor Fiduciary Duty Standards,SEC,Fiduciary duty requirements for municipal advisors,Enhanced protection for municipal entities,Yes,No,No,Yes,No,No,Yes,https://www.sec.gov/rules/final/2013/3470462.pdf,2011,https://www.sec.gov/rules/final/2013/34-70462.pdf
8/22/2011,Conflict Minerals Rule,SEC,Disclosure requirements for conflict minerals from Democratic Republic of Congo,Supply chain transparency and social responsibility,No,No,Yes,No,No,No,No,https://www.sec.gov/rules/final/2012/3467716.pdf,2011,https://www.sec.gov/rules/final/2012/34-67716.pdf
