Date,Regulation Title,Regulatory Body,Description,Impact,Litigation Risk,Corporate Governance,Proprietary Costs,Information Asymmetry,Unsophisticated Investors,Equity Issuance,Reputation Risk,References,Year
1/19/2017,Regulation 22e4 Liquidity Risk Management Programs,SEC,Requires mutual funds and ETFs to implement liquidity risk management programs to protect investors.,Reduced risk of investor harm due to illiquidity.,Yes,No,No,No,Yes,No,Yes,https://www.sec.gov/news/pressrelease/2016215.html,2017
5/16/2016,Regulation CF Crowdfunding,SEC,Allows private companies to raise up to $1 million per year through crowdfunding from both accredited and nonaccredited investors.,Democratized investment in startups and small businesses.,No,No,No,Yes,Yes,Yes,No,https://www.sec.gov/smallbusiness/exemptofferings/regcrowdfunding,2016
12/4/2015,FAST Act Fixing America’s Surface Transportation Act – Securities Disclosure Provisions,Congress,Included provisions to simplify and modernize SEC disclosure requirements for public companies.,Reduced regulatory burden and streamlined reporting for issuers.,No,No,Yes,Yes,No,Yes,No,https://www.sec.gov/news/statement/statementfastact120415.html,2015
4/14/2015,Regulation A+ Expanded Small Public Offerings,SEC,Allows companies to offer and sell up to $50 million of securities in a 12month period with streamlined reporting.,Greater access to capital for small and midsized companies.,No,No,No,Yes,Yes,Yes,No,https://www.sec.gov/news/pressrelease/201549.html,2015
12/18/2014,Regulation AT Automated Trading Proposal,CFTC,Proposed a framework for risk controls and registration for firms engaged in automated trading on U.S. futures markets.,Enhanced market integrity and risk management in automated trading.,No,No,No,Yes,No,No,Yes,https://www.cftc.gov/PressRoom/PressReleases/pr728315,2014
8/27/2014,Regulation Systems Compliance and Integrity Regulation SCI,SEC,Requires key market participants to have policies and procedures for technology systems that support the U.S. securities markets.,Increased operational resilience and market stability.,Yes,Yes,No,No,No,No,Yes,https://www.sec.gov/news/pressrelease/2014235,2014
7/23/2014,Regulation MM Money Market Fund Reform,SEC,"Established new rules for money market funds, including floating NAVs and liquidity fees to reduce run risk.",Improved stability and transparency in money market funds.,Yes,No,No,Yes,Yes,No,Yes,https://www.sec.gov/news/pressrelease/2014143,2014
7/10/2013,Regulation D Rule 506c General Solicitation for Private Offerings,SEC,"Permits general solicitation in private offerings, provided all purchasers are accredited investors and verification procedures are followed.",Expanded methods for raising private capital.,No,No,No,No,No,Yes,No,https://www.sec.gov/news/pressrelease/2013124,2013
4/5/2012,Regulation S Exemption for Offshore Offerings,SEC,"Provides a safe harbor for offers and sales of securities outside the United States, exempting them from SEC registration.",Facilitated global capital raising by U.S. and foreign issuers.,No,No,Yes,Yes,No,Yes,No,https://www.sec.gov/fastanswers/answersregs.htm,2012
4/5/2012,Regulation D Rule 504 Increased Offering Limit,SEC,Increased the maximum offering amount under Rule 504 to $5 million in a 12month period for certain private offerings.,Provided greater capitalraising opportunities for small businesses.,No,No,No,Yes,Yes,Yes,No,https://www.sec.gov/smallbusiness/exemptofferings/rule504,2012
4/5/2012,Jumpstart Our Business Startups JOBS Act,Congress,"Eased securities regulations to encourage funding of small businesses and startups. Allowed crowdfunding, increased Reg A+ limits, and eased IPO requirements for emerging growth companies.",Lowered barriers for startups to access capital; increased investor opportunities.,No,No,No,Yes,Yes,Yes,No,[SEC JOBS Act]https://www.sec.gov/spotlight/jobsact.shtml,2012
7/21/2011,Whistleblower Program DoddFrank Act,SEC,Created a program that rewards individuals who provide information about securities law violations.,Increased detection and enforcement of securities violations.,Yes,Yes,No,Yes,Yes,No,Yes,https://www.sec.gov/whistleblower,2011
7/21/2010,Office of Minority and Women Inclusion Establishment,SEC,"Created to ensure diversity and inclusion in management, employment, and business activities of the SEC and regulated entities.",Promoted diversity and inclusion in the securities industry.,No,Yes,No,No,No,No,Yes,https://www.sec.gov/omwi,2010
7/21/2010,Municipal Securities Rulemaking Board MSRB Expanded Authority,Congress,"Expanded the MSRB’s authority to regulate municipal advisors, not just brokerdealers and banks, as part of DoddFrank.",Improved regulation and oversight in the municipal securities market.,Yes,No,No,Yes,Yes,No,Yes,https://www.sec.gov/municipal,2010
7/21/2010,Office of the Investor Advocate Establishment,SEC,Established an office within the SEC to assist retail investors and ensure their interests are considered in regulatory actions.,Enhanced investor advocacy and protection.,No,No,No,Yes,Yes,No,No,https://www.sec.gov/advocate,2010
7/21/2010,Office of Municipal Securities Establishment,SEC,Created an office within the SEC to coordinate the regulation and oversight of municipal securities markets.,Improved transparency and regulatory focus on municipal securities.,No,No,No,Yes,Yes,No,No,https://www.sec.gov/municipal,2010
7/21/2010,DoddFrank Wall Street Reform and Consumer Protection Act,Congress,"Comprehensive reform of U.S. financial regulation in response to the 2008 crisis. Created new agencies, increased oversight, introduced ""Volcker Rule"", and enhanced consumer protection.",Major changes to financial regulation; increased compliance requirements.,Yes,Yes,Yes,Yes,Yes,Yes,Yes,[SEC DoddFrank]https://www.sec.gov/spotlight/doddfrank.shtml,2010
7/21/2010,Volcker Rule as part of DoddFrank Act,"Federal Reserve, SEC, FDIC, OCC, CFTC",Prohibits banks from proprietary trading and limits their ownership in hedge funds and private equity funds.,"Reduced risktaking by banks, increased market stability.",Yes,Yes,Yes,No,No,No,Yes,https://www.sec.gov/spotlight/doddfrank/volcker.shtml,2010
7/21/2010,Office of Credit Ratings Establishment,SEC,Created the Office of Credit Ratings within the SEC to oversee and examine nationally recognized statistical rating organizations NRSROs.,Improved regulatory oversight and accountability for credit rating agencies.,Yes,No,No,Yes,Yes,No,Yes,https://www.sec.gov/ocr,2010
6/4/2008,Regulation RR Credit Risk Retention Rule,"SEC, Federal Reserve, OCC, FDIC, FHFA, HUD","Requires securitizers of assetbacked securities to retain a portion of the credit risk, aligning interests with investors.",Reduced moral hazard and improved assetbacked securities market integrity.,Yes,No,Yes,Yes,Yes,Yes,Yes,https://www.sec.gov/news/pressrelease/2014247.html,2008
7/30/2007,Regulation R,SEC & Federal Reserve,Defined the scope of securities activities banks may conduct without registering as brokerdealers.,Clarified regulatory boundaries between banking and securities activities.,No,No,No,Yes,No,No,No,https://www.sec.gov/rules/final/2007/3456501.pdf,2007
