Date,Regulation Title,Regulatory Body,Description,Impact,Litigation Risk,Corporate Governance,Proprietary Costs,Information Asymmetry,Unsophisticated Investors,Equity Issuance,Reputation Risk,References,Year
12/12/2017,Securitisation Regulation European Union,"European Supervisory Authorities EBA, ESMA, EIOPA","Created a new, comprehensive legal framework for securitisation in the EU. It sets out duediligence, riskretention, and transparency requirements for all parties involved in a securitisation and establishes criteria for Simple, Transparent and Standardised STS securitisations.","Aimed to revive the EU securitisation market postfinancial crisis by creating a safer and more transparent framework, thereby improving funding channels for the real economy.",Yes,No,Yes,Yes,No,No,Yes,[https://eurlex.europa.eu/legalcontent/EN/TXT/?uri=CELEX:32017R2402]https://eurlex.europa.eu/legalcontent/EN/TXT/?uri=CELEX:32017R2402,2017
8/21/2017,Financial Sector Regulation Act South Africa,South African Reserve Bank / Financial Sector Conduct Authority FSCA,"A landmark law that fundamentally reformed the financial regulatory structure in South Africa by establishing a ""Twin Peaks"" model. It created a dedicated prudential regulator the Prudential Authority and a dedicated market conduct regulator the FSCA.",Created a more proactive and specialized regulatory system designed to improve financial stability and strengthen consumer protection and market integrity.,Yes,Yes,No,No,Yes,No,Yes,[https://www.treasury.gov.za/legislation/acts/2017/Act%209%20of%202017%20Financial%20Sector%20Regulation.pdf]https://www.treasury.gov.za/legislation/acts/2017/Act%209%20of%202017%20Financial%20Sector%20Regulation.pdf,2017
6/30/2017,Money Market Funds MMF Regulation European Union,European Securities and Markets Authority ESMA,"Established new, uniform rules for all money market funds in the EU to make them more resilient to market shocks. It introduced new fund categories e.g., Low Volatility NAV and imposed liquidity and diversification requirements.","Increased the stability of the MMF sector, a key source of shortterm funding for the economy. Required significant restructuring of existing MMF products.",Yes,Yes,No,Yes,Yes,No,Yes,[https://eurlex.europa.eu/legalcontent/EN/TXT/?uri=CELEX:32017R1131]https://eurlex.europa.eu/legalcontent/EN/TXT/?uri=CELEX:32017R1131,2017
6/14/2017,Prospectus Regulation European Union,European Securities and Markets Authority ESMA,"Replaced the 2003 Prospectus Directive to simplify the rules for companies, especially SMEs, when issuing securities and raising capital in the EU. It introduced a new, shorter EU Growth prospectus.","Aimed to make it easier and cheaper for companies to access public markets, thereby fostering capital market union.",Yes,No,Yes,Yes,Yes,Yes,No,[Link]https://eurlex.europa.eu/legalcontent/EN/TXT/?uri=celex:32017R1129,2017
5/17/2017,Shareholder Rights Directive II SRD II European Union,European Commission / National Competent Authorities,"A directive aimed at improving corporate governance in listed companies by enhancing shareholder engagement. It introduced new rules on the identification of shareholders, transmission of information, ""say on pay"" for directors' remuneration, and related party transactions.","Increased transparency between companies and their shareholders, empowered investors to have a greater say in corporate matters, especially executive pay, and improved oversight of related party deals.",Yes,Yes,No,Yes,No,No,Yes,[https://eurlex.europa.eu/legalcontent/EN/TXT/?uri=CELEX:32017L0828]https://eurlex.europa.eu/legalcontent/EN/TXT/?uri=CELEX:32017L0828,2017
7/23/2016,Law on Reserved Alternative Investment Funds RAIF Luxembourg,Commission de Surveillance du Secteur Financier CSSF / Luxembourg Parliament,"Introduced a new, highly flexible type of alternative investment fund AIF that is not subject to direct supervision by the CSSF. Instead, a RAIF must appoint a fully authorized Alternative Investment Fund Manager AIFM, which is itself regulated.","Created a hugely popular and successful fund product by offering a quicker timetomarket and lower regulatory burden than other supervised funds, while maintaining investor protection through the regulation of the manager.",Yes,Yes,No,No,No,Yes,Yes,[https://legilux.public.lu/eli/etat/leg/loi/2016/07/23/n2/jo]https://legilux.public.lu/eli/etat/leg/loi/2016/07/23/n2/jo Official French text,2016
6/23/2016,Benchmarks Regulation BMR European Union,European Securities and Markets Authority ESMA,A regulation introduced in response to scandals involving the manipulation of interest rate benchmarks like LIBOR. It establishes a common framework to ensure the accuracy and integrity of benchmarks used in financial instruments and contracts in the EU.,"Imposed stringent governance and control requirements on benchmark administrators, contributors, and users. Led to a transition away from older benchmarks like LIBOR to new, more robust reference rates.",Yes,Yes,No,Yes,No,No,Yes,[https://eurlex.europa.eu/legalcontent/EN/TXT/?uri=CELEX:32016R1011]https://eurlex.europa.eu/legalcontent/EN/TXT/?uri=CELEX:32016R1011,2016
4/1/2016,Act on the Corporate Governance of Financial Companies South Korea,Financial Services Commission FSC,"A dedicated law that consolidated and strengthened corporate governance requirements specifically for financial companies. It mandated stricter qualification criteria for executives, enhanced the role and independence of the board of directors, and improved internal control systems.","Aimed to improve the soundness and transparency of management in the Korean financial sector, which was seen as critical for overall financial stability and consumer protection.",Yes,Yes,No,Yes,Yes,No,Yes,[https://elaw.klri.re.kr/eng_service/lawView.do?hseq=36163&lang=ENG]https://elaw.klri.re.kr/eng_service/lawView.do?hseq=36163&lang=ENG,2016
9/2/2015,"SEBI Listing Obligations and Disclosure Requirements Regulations, 2015 LODR India",Securities and Exchange Board of India SEBI,"A new, comprehensive framework that consolidated and streamlined the provisions of various listing agreements for different securities. It created a single set of compliance requirements for all listed entities.","Simplified the compliance landscape for listed companies in India, improved corporate governance standards, and enhanced the quality and timeliness of disclosures to investors.",Yes,Yes,Yes,Yes,Yes,No,Yes,[https://www.sebi.gov.in/legal/regulations/2015/sebilistingobligationsanddisclosurerequirementsregulations2015lastamendedonjuly192023_34739.html]https://www.sebi.gov.in/legal/regulations/2015/sebilistingobligationsanddisclosurerequirementsregulations2015lastamendedonjuly192023_34739.html,2015
6/19/2015,Financial Market Infrastructure Act FMIA Switzerland,Swiss Financial Market Supervisory Authority FINMA,"A comprehensive law that regulates financial market infrastructures like trading venues and central counterparties and derivatives trading, aligning Swiss regulation with international standards e.g., EMIR, MiFID.","Modernized Swiss financial market regulation, particularly for derivatives, ensuring its equivalence with EU rules and maintaining international market access.",Yes,No,No,Yes,No,No,Yes,[Link]https://www.fedlex.admin.ch/eli/cc/2015/853/en,2015
