Date,Regulation Title,Regulatory Body,Description,Impact,Litigation Risk,Corporate Governance,Proprietary Costs,Information Asymmetry,Unsophisticated Investors,Equity Issuance,Reputation Risk,References,Year
2/15/2017,FINRA Rule on Financial Exploitation of Specified Adults,Financial Industry Regulatory Authority FINRA / Approved by SEC,"Adopted Rule 2165, which permits member firms to place temporary holds on disbursements of funds or securities from the accounts of specified adults persons aged 65+ or with a mental or physical impairment where the firm reasonably believes financial exploitation is occurring.","Provided a critical tool for financial firms to intervene and protect vulnerable investors from potential fraud and exploitation, representing a major step forward in senior investor protection.",Yes,No,No,No,Yes,No,Yes,[https://www.sec.gov/rules/sro/finra/2017/3480042.pdf]https://www.sec.gov/rules/sro/finra/2017/3480042.pdf,2017
10/13/2016,Investment Company Liquidity Risk Management Programs,U.S. Securities and Exchange Commission SEC,"Adopted Rule 22e4, requiring openend funds including mutual funds and ETFs to establish formal liquidity risk management programs. The programs require funds to assess and manage their liquidity risk, classify the liquidity of their portfolio investments, and establish a ""highly liquid investment minimum.""","Aims to ensure funds can meet shareholder redemption requests without diluting the interests of remaining shareholders, especially during times of market stress. It standardized industry practices for managing liquidity.",Yes,Yes,Yes,No,Yes,No,Yes,[https://www.sec.gov/rules/final/2016/3310233.pdf]https://www.sec.gov/rules/final/2016/3310233.pdf,2016
10/13/2016,Investment Company Reporting Modernization,U.S. Securities and Exchange Commission SEC,"Adopted new forms NPORT and NCEN requiring mutual funds, ETFs, and other registered investment companies to report enhanced, standardized, and more frequent portfolio and census data to the SEC.","Modernized fund reporting and improved the quality of data available to the SEC for oversight, risk monitoring, and policymaking.",Yes,Yes,Yes,Yes,No,No,Yes,[https://www.sec.gov/rules/final/2016/3310231.pdf]https://www.sec.gov/rules/final/2016/3310231.pdf,2016
9/28/2016,Covered Clearing Agency Standards Recovery and WindDown,U.S. Securities and Exchange Commission SEC,"Adopted Rule 17Ad22e, which established enhanced standards for systemically important clearing agencies. A key component requires these clearinghouses to maintain and test comprehensive recovery and winddown plans to manage potential failure and minimize systemic disruption.",Strengthened the resilience of critical financial market infrastructure by ensuring that the largest clearinghouses have credible plans to manage extreme stress or their own potential collapse without taxpayer support.,Yes,Yes,No,No,No,No,Yes,[https://www.sec.gov/rules/final/2016/3478961.pdf]https://www.sec.gov/rules/final/2016/3478961.pdf,2016
8/22/2016,Pay Versus Performance,U.S. Securities and Exchange Commission SEC,"Implemented a DoddFrank mandate requiring companies to disclose in a clear, tabular format the relationship between executive compensation actually paid and the company's financial performance.","Provides shareholders with a standardized metric to assess how well executive pay aligns with company performance, improving transparency in compensation decisions.",No,Yes,No,Yes,Yes,No,Yes,[https://www.sec.gov/rules/final/2022/3495607.pdf]https://www.sec.gov/rules/final/2022/3495607.pdf,2016
8/17/2016,"MSRB ""PaytoPlay"" Rule Rule G37",Municipal Securities Rulemaking Board MSRB / Approved by SEC,"This major overhaul of the existing rule seeks to end ""paytoplay"" practices in the municipal securities market. It prohibits municipal securities dealers from engaging in municipal securities business with an issuer for two years after making a political contribution to an official of that issuer.","Aims to sever the connection between political contributions and the awarding of municipal bond underwriting business, thereby reducing corruption and ensuring a meritbased selection of underwriters.",Yes,Yes,No,No,No,No,Yes,[https://www.sec.gov/rules/sro/msrb/2016/3478596.pdf]https://www.sec.gov/rules/sro/msrb/2016/3478596.pdf,2016
6/27/2016,TradeBased Manipulation Rules,U.S. Securities and Exchange Commission SEC,Adopted rules to apply existing antifraud and antimanipulation provisions to securitybased swaps.,Extended key market protections to the securitybased swaps market to prevent misconduct and protect market integrity.,"Yes, Litigation Risk",No,No,No,No,No,No,[Link]https://www.sec.gov/rules/final/2016/3478170.pdf,2016
6/8/2016,SEC Rule on Risk Mitigation Techniques for Uncleared SecurityBased Swaps,U.S. Securities and Exchange Commission SEC,"Requires securitybased swap dealers to establish and enforce policies for reconciling portfolios with counterparties, compressing portfolios, and executing written trading relationship documentation.",Complements margin requirements by establishing operational standards that reduce risk and improve efficiency in the uncleared securitybased swap market.,Yes,Yes,No,No,No,No,Yes,[https://www.sec.gov/rules/final/2016/3478011.pdf]https://www.sec.gov/rules/final/2016/3478011.pdf,2016
4/15/2016,FINRA Capital Acquisition Broker CAB Rules,Financial Industry Regulatory Authority FINRA / Approved by SEC,"Created a new, streamlined set of FINRA rules for member firms that engage in a limited range of activities, such as advising on mergers and acquisitions, private placements, or corporate financing. These firms have reduced compliance obligations compared to fullservice brokerdealers.","Provided a more tailored and less burdensome regulatory framework for advisoryfocused firms, potentially lowering barriers to entry and reducing compliance costs for this segment of the industry.",Yes,No,No,No,No,Yes,Yes,[https://www.sec.gov/rules/sro/finra/2016/3477602.pdf]https://www.sec.gov/rules/sro/finra/2016/3477602.pdf,2016
4/14/2016,Business Conduct Standards for SecurityBased Swap Dealers,U.S. Securities and Exchange Commission SEC,"Established a set of rules under DoddFrank governing the conduct of SecurityBased Swap Dealers SBSDs and Major SecurityBased Swap Participants MSBSPs. The rules require fair dealing, disclosure of material information risks, conflicts, and establishing a supervisory structure.","Created a new regulatory regime for the business conduct of swap dealers, providing protections for their counterparties similar to those that exist in traditional securities markets.",Yes,Yes,No,Yes,No,No,Yes,[https://www.sec.gov/rules/final/2016/3477617.pdf]https://www.sec.gov/rules/final/2016/3477617.pdf,2016
