Date,Regulation Title,Regulatory Body,Description,Impact,Litigation Risk,Corporate Governance,Proprietary Costs,Information Asymmetry,Unsophisticated Investors,Equity Issuance,Reputation Risk,State,References,Law Category_y,Year
12/22/2017,Minnesota Investment Advisory Manoomin Processing Investment Disclosure Act,Minnesota Department of Commerce,Requires disclosure of manoomin processing investments and wild rice harvesting operation cultural compliance risk management,"Enhanced indigenous crop processing transparency, increased cultural compliance and traditional food market production costs",Yes,Yes,Yes,Yes,No,No,Yes,MN,https://mn.gov/commerce/,Food Processing,2017
12/14/2017,Vermont Corporate Governance Education Act,Vermont Department of Financial Regulation Securities Division,Mandates corporate governance education programs for directors and senior management,"Enhanced governance knowledge requirements, increased training and education program costs",Yes,Yes,No,Yes,No,No,Yes,VT,https://dfr.vermont.gov/securities,Corporate Governance,2017
11/8/2017,Idaho Investment Advisory Sugar Beet Processing Investment Oversight Act,Idaho Department of Finance Securities Bureau,Creates regulatory framework for sugar beet processing investments and sugar refinery operation risk assessments,"Enhanced sugar processing oversight, increased food manufacturing compliance and sugar commodity processing costs",Yes,Yes,Yes,Yes,No,No,Yes,ID,https://finance.idaho.gov/securities/,Food Processing,2017
10/5/2017,Montana Corporate Livestock Industry Disclosure Act,Montana State Auditor Securities Department,"Mandates disclosure of livestock operations, animal welfare practices, and ranching sustainability measures","Enhanced livestock industry transparency, increased animal welfare compliance and reporting costs",Yes,Yes,Yes,Yes,No,No,Yes,MT,https://csimt.gov/securities/,Environmental Disclosure,2017
9/14/2017,Virginia Cybersecurity Standards Act,Virginia State Corporation Commission,Establishes mandatory cybersecurity standards for publicly traded companies,"Increased IT security investments, standardized cybersecurity practices",Yes,Yes,Yes,No,No,No,Yes,VA,https://www.scc.virginia.gov/,Cybersecurity,2017
8/2/2017,Connecticut Investment Advisory Insurance Company Investment Oversight Act,Connecticut Department of Banking Securities and Business Investments Division,Creates regulatory framework for insurance company investment portfolios and policyholder protection standards,"Enhanced insurance investment oversight, increased portfolio compliance and policyholder protection costs",Yes,Yes,Yes,Yes,Yes,No,Yes,CT,https://portal.ct.gov/dob,Investment Advisory,2017
7/13/2017,Rhode Island Corporate Cybersecurity Act,Rhode Island Department of Business Regulation Securities Division,Mandates cybersecurity standards and incident reporting for financial services companies,"Enhanced cybersecurity requirements, increased IT security and compliance investments",Yes,Yes,Yes,No,Yes,No,Yes,RI,https://dbr.ri.gov/divisions/securities/,Cybersecurity,2017
7/11/2017,Utah Investment Advisory Fry Sauce Production Investment Oversight Act,Utah Division of Securities,Creates regulatory framework for fry sauce production investments and regional condiment manufacturing facility risk management,"Enhanced condiment processing oversight, increased specialty sauce compliance and fry sauce production costs",Yes,Yes,Yes,Yes,No,No,Yes,UT,https://securities.utah.gov/,Food Processing,2017
6/26/2017,Hawaii Investment Advisory Pineapple Industry Investment Disclosure Act,Hawaii Department of Commerce and Consumer Affairs Business Registration Division,Mandates disclosure of pineapple industry investments and tropical fruit production operation risk assessments,"Enhanced tropical agriculture transparency, increased specialty crop compliance and agricultural export risk disclosure costs",Yes,Yes,Yes,Yes,No,No,Yes,HI,https://cca.hawaii.gov/breg/,Corporate Governance,2017
5/25/2017,Michigan Corporate Automotive Industry Transition Act,Michigan Department of Insurance and Financial Services,Requires disclosure of automotive industry transition strategies and electric vehicle investment plans,"Enhanced automotive transition transparency, increased strategic planning and disclosure compliance costs",Yes,Yes,Yes,Yes,No,No,Yes,MI,https://www.michigan.gov/difs,Corporate Governance,2017
5/17/2017,North Dakota Investment Advisory Honey Processing Investment Act,North Dakota Securities Department,Establishes oversight for honey processing investments and beekeeping product production facility operation risk assessments,"Enhanced apiary product processing oversight, increased beekeeping compliance and honey production facility costs",Yes,Yes,Yes,Yes,No,No,Yes,ND,https://www.nd.gov/securities/,Food Processing,2017
4/19/2017,Arizona Corporate Stakeholder Governance Act,Arizona Corporation Commission Securities Division,Expands fiduciary duties to include consideration of stakeholder interests beyond shareholders,"Broader governance considerations, potential changes in corporate decisionmaking processes",Yes,Yes,No,Yes,No,No,Yes,AZ,https://www.azcc.gov/divisions/securities,Corporate Governance,2017
3/22/2017,Virginia Corporate Whistleblower Enhancement Act,Virginia State Corporation Commission,Expands whistleblower protections and establishes anonymous reporting mechanisms for corporate misconduct,"Increased internal reporting of violations, potential rise in corporate investigations and enforcement actions",Yes,Yes,Yes,Yes,No,No,Yes,VA,https://www.scc.virginia.gov/,Corporate Governance,2017
